used,"x, 2theta (deg)",obs,calc,bkg,diff,diff/sigma,Axis-limits
1,20,25526.7,25660.959073001097,25657.269258380384,-2756.519073,-0.840323109,17
1,20.01,25580,25632.947267007527,25629.239726789183,-2675.207267,-0.33104976,83.00000000000001
1,20.02,25646.7,25605.040384867418,25601.314988251008,-2580.600385,0.26013543072391654,-144649.2591
1,20.03,25260,25577.23807728426,25573.494697617632,-2939.498077,-1.996037223,180866.99910194465
1,20.04,25610,25549.540006998417,25545.77851,-2561.800007,0.3778011741726411, 
1,20.05,24986.7,25521.94582545125,25518.166083912416,-3157.505825,-3.386092654, 
1,20.06,25780,25494.455197932446,25490.657074978943,-2336.715198,1.7784137289459057, 
1,20.07,25286.7,25467.06777791061,25463.251142223475,-2802.627778,-1.134260679, 
1,20.08,25436.7,25439.78323243993,25435.947944922165,-2625.343232,-0.01933196, 
1,20.09,24590,25412.60121623157,25408.747143230805,-3444.861216,-5.24578012, 
1,20.1,25063.3,25385.521398097328,25381.64839818316,-2944.481398,-2.035331956, 
1,20.11,25306.7,25358.54343515073,25354.651371689208,-2674.103435,-0.325893735, 
1,20.12,25006.7,25331.666997954206,25327.75572653336,-2947.226998,-2.054996405, 
1,20.13,25146.7,25304.89174497967,25300.961126372873,-2780.451745,-0.997569854, 
1,20.14,25183.3,25278.217348663056,25274.267235736024,-2717.177349,-0.598121314, 
1,20.15,24996.7,25251.64346973517,25247.673720020433,-2877.20347,-1.612510507, 
1,20.16,25076.7,25225.169781461493,25221.180245491363,-2770.729781,-0.937568218, 
1,20.17,24993.3,25198.795948510127,25194.786479279956,-2827.755949,-1.299844685, 
1,20.18,25086.7,25172.52164146914,25168.492089381598,-2708.081641,-0.541844973, 
1,20.19,25156.7,25146.34653140017,25142.296744654166,-2611.906531,0.065276827, 
1,20.2,25233.3,25120.27028841084,25116.200114816376,-2509.230288,0.7115502800267519, 
1,20.21,24810,25094.29258489374,25090.201870445944,-2906.552585,-1.804895866, 
1,20.22,24610,25068.413095136035,25064.30168297809,-3080.673095,-2.922141273, 
1,20.23,25053.3,25042.631489354462,25038.49922,-2611.591489,0.067401774, 
1,20.24,25063.3,25016.94745,25012.794168767694,-2575.907447,0.2927888465949557, 
1,20.25,25066.7,24991.360642078205,24987.186189167263,-2546.920642,0.47585357115128885, 
1,20.26,25110,24965.87075033605,24961.67496075031,-2478.13075,0.9095545889754513, 
1,20.27,25103.3,24940.477449590486,24936.260159213645,-2459.43745,1.027659272, 
1,20.28,24800,24915.18041845972,24910.94146110134,-2737.440418,-0.731396389, 
1,20.29,25163.3,24889.979334722353,24885.71854380309,-2348.939335,1.7230134653531077, 
1,20.3,24693.3,24864.87387959352,24860.591085552456,-2793.83388,-1.091846548, 
1,20.31,24666.7,24839.863735130624,24835.558765425267,-2795.423735,-1.102557935, 
1,20.32,24783.3,24814.948579694432,24810.62126333789,-2653.90858,-0.201036381, 
1,20.33,24563.3,24790.12809715145,24785.778260045627,-2849.088097,-1.447283108, 
1,20.34,24993.3,24765.401971427542,24761.02943714093,-2394.361971,1.4415468693266262, 
1,20.35,24766.7,24740.769887154533,24736.374477051853,-2596.329887,0.16476703818948157, 
1,20.36,25336.7,24716.231528242548,24711.813063040354,-2001.791528,3.8980256605683987, 
1,20.37,24806.7,24691.786581767326,24687.34487920059,-2507.346582,0.729602387, 
1,20.38,24500,24667.434733690712,24662.969610457345,-2789.694734,-1.069701275, 
1,20.39,24920,24643.175672877536,24638.686942564233,-2345.435673,1.7535987771494643, 
1,20.4,24836.7,24619.009086686572,24614.496562102227,-2404.569087,1.3813169965413794, 
1,20.41,24736.7,24594.934665246627,24590.39815647783,-2480.494665,0.9013618375624111, 
1,20.42,24833.3,24570.952098343863,24566.391413921592,-2359.912098,1.6647935223319403, 
1,20.43,24760,24547.061078142295,24542.476023486324,-2409.321078,1.3532552812745018, 
1,20.44,24670,24523.261294774693,24518.651675045527,-2475.521295,0.9342435494971529, 
1,20.45,24713.3,24499.552442563345,24494.918059291744,-2408.512443,1.359677121549967, 
1,20.46,24486.7,24475.93421392562,24471.274867734905,-2611.494214,0.068798761, 
1,20.47,24590,24452.406305335484,24447.721792700704,-2484.666305,0.8774437161710553, 
1,20.48,24580,24428.96840695117,24424.258527328944,-2471.228407,0.9633339454384291, 
1,20.49,24766.7,24405.62022,24400.884765571944,-2261.180224,2.2943997821005557, 
1,20.5,24926.7,24382.36144606918,24377.600202192865,-2077.921446,3.4477574200309697, 
1,20.51,24750,24359.191773907085,24354.404532764132,-2231.451774,2.4841401543268504, 
1,20.52,24803.3,24336.110905322832,24331.297453665757,-2155.070905,2.966456359380308, 
1,20.53,24820,24313.11853983583,24308.278662083736,-2115.37854,3.217403412114146, 
