used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd1.5Mn0.25Zr2.25O7,tick-pos,Axis-limits
1,20.94,23086.7,23436.894186031997,23436.894186031997,-2972.454186, , , 
1,20.95,23690,23417.320465241017,23417.320465241017,-2349.580465, , , 
1,20.96,23413.3,23397.82275,23397.82275,-2606.782751, , , 
1,20.97,23056.7,23378.40077380174,23378.40077380174,-2943.960774, , , 
1,20.98,23696.7,23359.05426604867,23359.05426604867,-2284.614266, , , 
1,20.99,23173.3,23339.782960094373,23339.782960094373,-2788.74296, , , 
1,21,23773.3,23320.586589220537,23320.586589220537,-2169.546589, , , 
1,21.01,23480,23301.464887439794,23301.464887439794,-2443.724887, , , 
1,21.02,23110,23282.417589494176,23282.417589494176,-2794.677589, , , 
1,21.03,23020,23263.44443,23263.44443,-2865.704431, , , 
1,21.04,23613.3,23244.545147714398,23244.545147714398,-2253.505148, , , 
1,21.05,22936.7,23225.719476997816,23225.719476997816,-2911.279477, , , 
1,21.06,23036.7,23206.967156348488,23206.967156348488,-2792.527156, , , 
1,21.07,23023.3,23188.28792413294,23188.28792413294,-2787.247924, , , 
1,21.08,23353.3,23169.68151943815,23169.68151943815,-2438.641519, , , 
1,21.09,23673.3,23151.147682069986,23151.147682069986,-2100.107682, , , 
1,21.1,23663.3,23132.686152551767,23132.686152551767,-2091.646153, , , 
1,21.11,23273.3,23114.296672122764,23114.296672122764,-2463.256672, , , 
1,21.12,23266.7,23095.978982736695,23095.978982736695,-2451.538983, , , 
1,21.13,22950,23077.732827060263,23077.732827060263,-2749.992827, , , 
1,21.14,22583.3,23059.55794847168,23059.55794847168,-3098.517948, , , 
1,21.15,23240,23041.454091059182,23041.454091059182,-2423.714091, , , 
1,21.16,23136.7,23023.420999619535,23023.420999619535,-2508.981, , , 
1,21.17,22800,23005.45842,23005.45842,-2827.71842, , , 
1,21.18,22960,22987.56609737983,22987.56609737983,-2649.826097, , , 
1,21.19,23223.3,22969.743779702832,22969.743779702832,-2368.70378, , , 
1,21.2,22523.3,22951.991214241873,22951.991214241873,-3050.951214, , , 
1,21.21,22846.7,22934.30814931439,22934.30814931439,-2709.868149, , , 
1,21.22,22480,22916.694333937616,22916.694333937616,-3058.954334, , , 
1,21.23,22473.3,22899.14951782703,22899.14951782703,-3048.109518, , , 
1,21.24,22643.3,22881.673451394985,22881.673451394985,-2860.633451, , , 
1,21.25,22770,22864.265885749155,22864.265885749155,-2716.525886, , , 
1,21.26,22793.3,22846.926572691136,22846.926572691136,-2675.886573, , , 
1,21.27,23116.7,22829.655264715013,22829.655264715013,-2335.215265, , , 
1,21.28,22586.7,22812.45171500589,22812.45171500589,-2848.011715, , , 
1,21.29,22816.7,22795.31567743844,22795.31567743844,-2600.875677, , , 
1,21.3,22796.7,22778.246906575445,22778.246906575445,-2603.806907, , , 
1,21.31,22873.3,22761.24515766639,22761.24515766639,-2510.205158, , , 
1,21.32,22720,22744.310186646024,22744.310186646024,-2646.570187, , , 
1,21.33,22950,22727.441750132875,22727.441750132875,-2399.70175, , , 
1,21.34,22743.3,22710.63960542784,22710.63960542784,-2589.599605, , , 
1,21.35,22480,22693.903510512806,22693.903510512806,-2836.163511, , , 
1,21.36,22863.3,22677.233224049112,22677.233224049112,-2436.193224, , , 
1,21.37,22603.3,22660.62850537623,22660.62850537623,-2679.588505, , , 
1,21.38,22743.3,22644.089114510258,22644.089114510258,-2523.049115, , , 
1,21.39,21886.7,22627.61481214251,22627.61481214251,-3363.174812, , , 
1,21.4,22256.7,22611.205359638167,22611.205359638167,-2976.76536, , , 
1,21.41,22626.7,22594.860519034723,22594.860519034723,-2590.420519, , , 
1,21.42,22336.7,22578.580053040714,22578.580053040714,-2864.140053, , , 
1,21.43,22536.7,22562.36373,22562.36373,-2647.923725, , , 
1,21.44,22336.7,22546.211299061368,22546.211299061368,-2831.771299, , , 
1,21.45,22540,22530.122539835174,22530.122539835174,-2612.38254, , , 
1,21.46,22566.7,22514.097212733872,22514.097212733872,-2569.657213, , , 
1,21.47,22260,22498.13508379965,22498.13508379965,-2860.395084, , , 
1,21.48,22680,22482.23591973718,22482.23591973718,-2424.49592, , , 
1,21.49,22680,22466.399487912295,22466.399487912295,-2408.659488, , , 
1,21.5,22323.3,22450.625556350456,22450.625556350456,-2749.585556, , , 
1,21.51,22376.7,22434.91389373552,22434.91389373552,-2680.473894, , , 
1,21.52,22586.7,22419.26426940822,22419.26426940822,-2454.824269, , , 
1,21.53,22310,22403.67645,22403.67645,-2715.936453, , , 
1,21.54,22646.7,22388.150216255668,22388.150216255668,-2363.710216, , , 
1,21.55,22650,22372.685329383952,22372.685329383952,-2344.945329, , , 
1,21.56,22636.7,22357.281564704117,22357.281564704117,-2342.841565, , , 
1,21.57,22150,22341.938694820645,22341.938694820645,-2814.198695, , , 
1,21.58,22500,22326.65649298655,22326.65649298655,-2448.916493, , , 
1,21.59,21836.7,22311.434733102098,22311.434733102098,-3096.994733, , , 
1,21.6,22296.7,22296.273189713345,22296.273189713345,-2621.83319, , , 
1,21.61,22346.7,22281.171638010823,22281.171638010823,-2556.731638, , , 
1,21.62,21990,22266.129853828126,22266.129853828126,-2898.389854, , , 
1,21.63,22280,22251.147613640573,22251.147613640573,-2593.407614, , , 
1,21.64,22270,22236.224694563778,22236.224694563778,-2588.484695, , , 
1,21.65,22736.7,22221.36087435234,22221.36087435234,-2106.920874, , , 
1,21.66,22300,22206.55593139847,22206.55593139847,-2528.815931, , , 
1,21.67,22450,22191.809644730616,22191.809644730616,-2364.069645, , , 
1,21.68,22523.3,22177.121794012088,22177.121794012088,-2276.081794, , , 
1,21.69,22363.3,22162.49216,22162.49216,-2421.45216, , , 
1,21.7,22406.7,22147.920522242457,22147.920522242457,-2363.480522, , , 
1,21.71,21813.3,22133.40666368014,22133.40666368014,-2942.366664, , , 
1,21.72,22163.3,22118.950366042005,22118.950366042005,-2577.910366, , , 
1,21.73,22053.3,22104.55141214538,22104.55141214538,-2673.511412, , , 
1,21.74,22226.7,22090.209585434368,22090.209585434368,-2485.769585, , , 
1,21.75,22286.7,22075.924669978453,22075.924669978453,-2411.48467, , , 
1,21.76,22423.3,22061.696450471198,22061.696450471198,-2260.65645, , , 
1,21.77,22026.7,22047.524712228893,22047.524712228893,-2643.084712, , , 
1,21.78,22306.7,22033.40924118914,22033.40924118914,-2348.969241, , , 
1,21.79,21736.7,22019.349823909677,22019.349823909677,-2904.909824, , , 
1,21.8,22366.7,22005.346247566875,22005.346247566875,-2260.906248, , , 
1,21.81,21996.7,21991.398299954515,21991.398299954515,-2616.9583, , , 
1,21.82,22520,21977.505769482348,21977.505769482348,-2079.765769, , , 
1,21.83,22143.3,21963.668445174928,21963.668445174928,-2442.628445, , , 
1,21.84,22350,21949.88611667011,21949.88611667011,-2222.146117, , , 
1,21.85,22110,21936.15857421783,21936.15857421783,-2448.418574, , , 
1,21.86,22056.7,21922.485608678766,21922.485608678766,-2488.045609, , , 
1,21.87,21916.7,21908.867011522994,21908.867011522994,-2614.427012, , , 
1,21.88,21716.7,21895.30257482866,21895.30257482866,-2800.862575, , , 
1,21.89,22116.7,21881.792091280717,21881.792091280717,-2387.352091, , , 
1,21.9,21586.7,21868.33535416956,21868.33535416956,-2903.895354, , , 
1,21.91,22163.3,21854.932157389703,21854.932157389703,-2313.892157, , , 
1,21.92,21956.7,21841.582295438533,21841.582295438533,-2507.142295, , , 
1,21.93,21673.3,21828.28556341495,21828.28556341495,-2777.245563, , , 
1,21.94,21523.3,21815.041757018036,21815.041757018036,-2914.001757, , , 
1,21.95,21610,21801.850672545836,21801.850672545836,-2814.110673, , , 
1,21.96,21620,21788.712106893956,21788.712106893956,-2790.972107, , , 
1,21.97,21843.3,21775.625857554358,21775.625857554358,-2554.585858, , , 
1,21.98,21793.3,21762.59172261397,21762.59172261397,-2591.551723, , , 
1,21.99,21583.3,21749.609500753468,21749.609500753468,-2788.569501, , , 
1,22,21323.3,21736.678991245906,21736.678991245906,-3035.638991, , , 
1,22.01,21740,21723.799993955505,21723.799993955505,-2606.059994, , , 
1,22.02,21203.3,21710.972309336317,21710.972309336317,-3129.932309, , , 
1,22.03,21826.7,21698.19574,21698.19574,-2493.755738, , , 
1,22.04,21706.7,21685.47008286912,21685.47008286912,-2601.030083, , , 
1,22.05,21766.7,21672.795144866795,21672.795144866795,-2528.355145, , , 
1,22.06,21773.3,21660.17072722446,21660.17072722446,-2509.130727, , , 
1,22.07,21923.3,21647.59663332601,21647.59663332601,-2346.556633, , , 
1,22.08,21383.3,21635.072667137552,21635.072667137552,-2874.032667, , , 
1,22.09,21426.7,21622.59863320598,21622.59863320598,-2818.158633, , , 
1,22.1,21630,21610.174336657834,21610.174336657834,-2602.434337, , , 
